Vertex	Core
Vertex	Core
285551	3
285552	1
285554	1
285555	3
3640	3
285558	5
285559	3
3638	1
3635	23
3636	2
3637	20
285562	9
285563	5
285564	1
285565	4
3650	1
3651	7
285567	4
285568	2
285569	3
0	16
1	91
2	26
3	12
4	1
3641	2
3642	16
285570	4
285571	2
285572	5
285573	7
3660	2
285577	16
3662	8
285578	3
285579	2
3652	2
3655	4
285580	1
285581	3
285582	1
285583	8
285584	9
285585	18
285586	3
3671	4
285587	3
285588	1
3673	63
3664	2
3665	1
3666	7
3667	4
3668	42
285590	3
285591	4
285592	12
3681	12
285510	9
285511	11
3684	25
285512	9
128710	1
285513	1
285514	5
285515	5
285516	1
285517	1
285519	1
128708	3
128709	3
128700	15
3675	10
128701	4
128702	29
128703	12
3678	5
128704	21
128705	19
128706	48
128707	3
285520	3
3694	2
3695	1
285523	4
285524	2
285526	3
285527	3
285528	4
285529	4
3687	3
3688	2
285530	1
285535	10
285536	4
285537	1
285538	4
285539	1
285540	3
285541	4
285542	6
285543	4
285544	1
285546	11
285549	4
128750	3
128751	7
128752	9
128753	2
114103	2
153712	3
114105	1
153714	28
114106	16
114107	3
114108	3
153716	24
153718	3
36407	72
153719	3
36408	31
36409	11
114111	2
114112	2
114113	7
128744	7
128745	8
36400	10
36401	11
128746	11
36402	4
36403	4
128748	7
36404	14
128749	5
36405	12
36406	2
128740	33
128741	26
128742	16
128743	5
153700	5
153701	2
153702	2
153705	2
114100	24
114101	19
114102	2
128733	29
128734	7
128735	7
128736	7
128737	3
128738	1
128739	4
403297	4
403298	5
403299	21
153730	16
128730	4
153731	11
128731	1
153732	3
128732	6
153733	2
153734	6
153737	44
403292	4
403293	6
403294	6
153739	7
128722	1
128723	4
128724	7
128725	5
128726	16
128727	35
128728	9
128729	2
403285	1
403286	2
153720	3
128720	4
153721	10
128721	5
153722	7
153723	5
153724	9
403280	3
153727	8
403282	6
403283	6
153729	5
403284	6
128719	3
128711	5
128712	7
128713	2
128714	1
128716	3
128717	8
128718	3
128791	4
285593	2
285594	2
128792	2
285595	2
128793	6
128794	6
128795	6
285597	2
128796	6
285598	2
128797	13
285599	1
128798	3
114147	14
114148	15
114149	8
128790	21
114150	4
114151	4
114152	2
114153	2
114154	40
114155	7
114156	7
114157	7
128788	3
128789	15
128780	59
128781	6
128782	3
128783	5
128784	26
114136	2
114137	7
114138	4
114139	4
114140	2
114141	2
114142	2
114143	7
114144	1
114145	7
114146	7
128777	2
128778	1
128779	2
128770	1
128771	6
128772	6
128773	9
128776	8
114125	4
114126	4
114129	7
114130	10
114131	1
114132	2
114133	1
114134	5
114135	21
128768	5
128769	8
128760	14
128762	4
128763	4
128764	28
128765	8
114116	1
114118	15
114119	7
114120	3
114121	7
114122	3
114124	1
128755	4
128756	6
128757	10
128758	5
128759	5
153670	16
403231	3
153671	10
403232	3
153672	20
153673	6
403233	2
153674	6
403234	4
36363	1
403235	4
61320	7
36364	4
403236	3
153676	1
403237	4
153678	2
417879	2
153679	1
61324	7
61325	5
61319	9
417884	3
417885	3
114076	2
114077	3
417886	2
114078	5
114079	44
75972	4
417889	1
75974	5
403227	5
403228	5
75975	11
36367	10
36368	3
75976	18
403229	2
36369	3
75977	1
75979	36
417880	2
153680	5
417881	2
153660	5
403220	6
403222	3
36351	2
403223	5
153664	2
36352	2
403224	5
36353	1
61331	6
403225	5
153665	11
36354	5
153666	12
403226	5
61333	2
153667	1
114059	4
153668	30
61334	3
61335	3
153669	4
61336	3
114062	4
417894	1
417895	3
114064	1
114065	4
114066	4
114067	4
75962	4
75963	22
36355	3
75964	2
36358	1
75966	3
417890	3
417891	3
114060	4
114061	4
128692	4
153692	7
153693	22
128693	4
153694	5
128694	4
403210	5
128695	2
153695	9
403211	5
61340	2
128696	4
153696	2
61341	7
128697	4
153697	2
61342	1
128698	11
36342	5
153698	1
128699	3
153699	10
61343	5
61344	13
114048	5
61345	5
114049	5
61346	17
128690	3
128691	14
114051	1
114052	4
75990	4
114053	1
75991	4
75992	5
75993	13
75994	12
75995	7
114058	6
403205	7
75996	5
128689	1
36345	14
75997	2
403206	9
75998	12
36346	38
403207	10
75999	67
403209	2
114050	5
128681	4
153682	2
153683	2
153684	5
128684	2
61351	2
128685	2
128686	7
61352	2
61353	5
128687	18
153687	2
128688	4
153688	22
61354	8
36332	1
153689	6
61355	3
114037	5
61356	30
114038	18
114039	18
61358	13
61359	1
128680	3
114040	18
114041	18
114042	2
114043	4
114044	6
75982	3
114045	1
75983	22
75984	31
114047	4
75985	18
128678	2
36333	3
36334	1
75986	1
128679	3
75987	37
36335	17
36336	6
75988	3
75989	4
36337	6
36338	2
153690	4
153691	4
403274	3
403275	4
61360	17
403276	11
61361	13
403277	11
61362	2
153630	5
403278	11
153631	5
61363	6
403279	1
61364	16
36320	5
61365	8
36321	5
61366	15
153634	2
417835	4
153635	9
61367	1
417836	2
153636	24
61368	3
61369	2
153637	21
417838	2
153638	8
403270	4
153639	10
403271	4
403272	4
403273	3
417840	1
417842	2
417843	4
36324	4
36325	2
36326	5
36327	5
36328	1
36329	1
403263	3
403264	3
61370	29
61371	7
403265	3
61373	5
403267	5
153620	4
61374	2
403268	2
61375	2
153621	4
403269	2
36310	22
61376	2
153622	2
61377	1
153623	11
153624	5
417847	4
153625	2
61379	7
417848	3
153626	5
417849	3
153627	2
153628	7
403260	7
153629	4
403261	2
403262	3
417850	3
417851	2
417852	2
417853	2
417855	6
417856	6
36311	2
36314	2
36316	8
61381	1
153650	11
153651	2
403255	6
153652	31
403256	6
61385	1
153653	17
61386	5
153654	7
403258	3
153655	5
61387	2
403259	3
61388	2
153656	1
417857	1
61389	2
153657	21
153658	7
153659	7
403250	4
403251	2
114095	1
417860	4
36309	57
114096	1
114097	18
114098	9
114099	9
417867	4
36300	2
36303	1
114090	9
36304	1
114091	1
36305	1
114092	2
114093	7
36306	4
114094	2
36307	4
403241	2
403242	1
403243	5
403244	4
153640	3
153641	5
403245	4
61396	12
153642	2
403246	3
61397	2
153643	4
61398	2
153645	5
417868	2
417869	1
153646	2
153647	3
153648	3
153649	4
403240	2
114084	2
417872	2
114085	3
114086	2
417873	2
114087	4
417874	2
114088	4
417875	5
114089	6
417876	5
417877	5
403238	1
403239	1
114080	5
114082	1
417870	1
114083	2
417800	1
285601	11
417802	6
417804	5
285603	3
417805	2
285604	2
285605	1
417806	3
285606	2
417807	1
417808	3
285607	8
417809	3
285608	2
285609	2
246000	1
246001	9
75905	8
75906	62
75907	25
75908	23
75909	12
417813	1
285612	13
285613	3
417816	5
285615	12
285616	1
417818	2
285618	1
285619	1
75910	17
75911	27
75912	15
75913	47
75914	1
75915	2
285620	1
285621	2
285622	2
285623	3
417824	2
417825	4
285624	2
417826	3
417827	3
285626	6
417828	1
285628	3
285629	1
3708	4
3709	10
417832	2
417833	3
417834	4
75900	67
75901	30
75902	14
75904	36
75927	2
246026	1
246027	2
246028	6
246029	14
3715	1
3716	1
246030	4
3717	2
3718	55
246032	7
246034	8
246035	3
246036	10
75930	2
75931	9
75932	13
75933	1
75934	34
3712	4
75935	24
3713	71
75936	1
75937	1
36391	2
75916	4
36392	36
75917	10
75918	8
36393	16
36394	9
75919	4
36395	2
36396	5
36397	2
36398	1
246037	6
246040	2
3727	4
246041	5
246044	2
246045	2
246046	7
246047	3
36399	4
75921	3
75922	27
75923	4
75924	32
3723	2
75925	24
75926	2
36380	66
75949	18
36381	9
36382	5
36383	1
36384	2
36386	4
36387	1
61301	8
246006	10
61302	8
61303	8
61304	2
246009	9
61305	5
61306	3
61307	1
3737	10
246010	1
246011	2
246012	5
